stage,cost_bucket,source,source_type,share_pct,basis,year,grade,notes
Pretraining,Accelerators + servers + interconnect,"Cottier et al., arXiv:2405.21015",Peer-reviewed cost model,47-65,"Amortised hardware and energy, final training run",2024,A,"Hardware total. Servers 15-22, interconnect 9-13 of total"
Pretraining,R&D staff,"Cottier et al., arXiv:2405.21015",Peer-reviewed cost model,29-49,"Salaries and equity including experiment compute",2024,A,"The widest range in the model and the reason the hardware share is uncertain"
Pretraining,Energy,"Cottier et al., arXiv:2405.21015",Peer-reviewed cost model,2-6,"Electricity during the final run",2024,A,"Small in money, decisive for siting"
Pretraining,Compute share of total,"Epoch AI cost commentary",Independent research,47-65,"Hardware plus energy",2024,A,"Consistent with Cottier, same underlying model"
Post-training,RL compute as share of pretraining compute,"DeepSeek-AI R1 technical report",Primary disclosure,5.3,"147,000 of 2,788,000 GPU-hours",2025,A,"The only full frontier disclosure available"
Post-training,RL compute as share of pretraining compute,"DeepSeek-R1-Zero via Guo et al.",Primary disclosure,3.75,"100,000 H800 GPU-hours for RL",2025,A,"Lower than R1 proper"
Post-training,RL compute growth o1 to o3,"OpenAI 2025 via Khatri et al., arXiv:2510.13786",Secondary,1000,"More than tenfold increase in RL compute between generations",2025,B,"Direction is clear, absolute level is not disclosed"
Post-training,RL compute growth Grok-3 to Grok-4,"xAI via Khatri et al., arXiv:2510.13786",Secondary,1000,"Described as a similar leap",2025,B,"Same caveat"
Post-training,Post-training compute exceeding pretraining,"Cursor Composer 1.5 disclosure",Primary disclosure,>100,"Company states RL post-training compute exceeded pretraining of the base model",2025,B,"The only explicit statement of inversion by any lab"
Post-training,Single RL ablation run,"Lambert, arXiv:2504.12501 ch.1",Practitioner account,0,"10,000 to 100,000 GPU-hours per ablation",2026,A,"Explains why total post-training compute is much larger than any single published run"
Post-training,Generalist preference comparison,"Vendor pricing surveys",Industry estimate,0,"$0.50 to $8 per comparison",2026,C,"No primary price list is public"
Post-training,Expert domain comparison,"Vendor pricing surveys",Industry estimate,0,"$20 to $100+ per comparison",2026,C,"Medical, legal and code annotation"
Post-training,RL environment build,"SemiAnalysis via industry review",Industry estimate,0,"$20,000 per interface; $300,000 per application clone",2026,C,"Consistent across reports, no vendor price list"
Post-training,RLAIF cost relative to human,"Industry estimate",Industry estimate,10,"AI feedback is roughly a tenth the cost of human labelling",2026,C,"If widely adopted this collapses the human data share"
Inference,GPU and servers,"Epoch AI 1 GW TCO model",Independent research,60,"Upfront capex of a 1 GW AI campus, about $38bn",2026,B,"Buildings 20, power 12, cooling 5, network and other 3"
Inference,GPUs alone,"SemiAnalysis Meta H100 cluster TCO",Industry analysis,46,"Four-year total cost of ownership",2025,B,"Networking, CPU and storage a further 24; colocation 20; electricity 9"
Inference,IT equipment all-in,"Electron Economics capex tracker",Industry analysis,53,"Range across sources 46 to 64",2026,C,"GPU servers, networking and storage together"
Inference,GPUs and accelerators,"Turner and Townsend, JLL, Archdesk benchmarking",Industry benchmarking,40-60,"Share of all-in capex per MW",2026,B,"Power 15-25, cooling 8-15, networking 8-12, land and shell 5-15"
Inference,Energy share of cash opex,"SemiAnalysis via operator analysis",Industry analysis,32,"Electricity as a share of operating cost once depreciation is excluded",2025,C,"Colocation rent is the other two-thirds"
