instrument,jurisdiction,date,targets,stage_hit,india_direct_effect,india_indirect_effect,source,grade
Advanced computing IC controls (ECCN 3A090/4A090),United States,2022-10 onward,"AI accelerators above performance thresholds",Pretraining and inference,"India is not an embargoed destination; licences generally available",Queue position behind US and allied buyers; pricing power sits with the seller,"BIS interim final rules 2022-2024",A
AI Diffusion Framework,United States,2025-01 issued 2025-05 rescinded,"Country tiers with compute ceilings",All,"India was placed in the middle tier before rescission",Established the template that a future administration can re-impose in weeks,"BIS IFR 13 Jan 2025; rescinded May 2025",A
HBM controls,United States,2024-12,"High-bandwidth memory above stated thresholds",Pretraining and inference,"No direct restriction on India",Tightens the single most supply-constrained input in the accelerator BOM,"BIS rule Dec 2024",A
Semiconductor manufacturing equipment controls,"United States, Netherlands, Japan",2023 onward,"Advanced lithography, deposition, etch, metrology",Pretraining,"India's 28nm plans are below the controlled thresholds",Fixes India's fab ambitions at mature nodes for the foreseeable future,"BIS, Dutch and Japanese national measures",A
Affiliates rule,United States,2025 suspended to 2026-11,"Non-listed foreign affiliates of listed entities",All,"Ownership structures of Indian data centre operators come into scope on resumption",Due-diligence burden on any Indian operator with complex ownership,"BIS; suspension to 10 Nov 2026",B
Section 232 semiconductor tariffs,United States,2026-01,"Imported semiconductors and derivatives",All,"Raises landed cost of accelerators routed through the US",Strengthens the case for buying direct from Asian assembly rather than via US entities,"Presidential proclamation 14 Jan 2026",B
Chip Security Act (location verification),United States,2026-03 House approval,"Geolocation attestation embedded in chips",All,"Would make Indian deployments continuously verifiable by the exporter",Converts a one-time export decision into an ongoing operational dependency,"US Congress; approved for full House vote 26 Mar 2026",B
Case-by-case licensing for H200-class to China,United States,2026-01-13,"H200 and MI325X equivalents",All,"No direct India effect",Signals that thresholds are politically movable, in both directions,"BIS final rule effective 15 Jan 2026",A
EDA and design software controls,United States,2022 onward,"Tools for GAAFET and advanced nodes",Pretraining,"India's design industry runs on the same three vendors",A licensing action against an Indian entity would be effective within one billing cycle,"BIS rules; vendor licensing terms",B
Model weight controls,United States,2025-01 in AI Diffusion rule,"Weights of models above training compute thresholds",Post-training,"Would have applied to closed frontier weights, not open ones",Rescinded, but the drafting exists and open weights remain the practical hedge,"BIS IFR 13 Jan 2025, rescinded",A
