component,layer,used_in_pretraining,used_in_posttraining,used_in_inference,firms_and_shares_pct,residual_pct,hhi_lower_bound,top1_share_pct,control_leverage_1to5,leverage_basis,source,source_grade
EUV lithography scanners,hardware,1,0,0,ASML:100,0,10000,100,5,Dutch export licensing since 2019; US FDPR reach through US-origin components,ASML annual report FY2025; Dutch government licensing notices,A
Leading-edge logic foundry (5nm and below),hardware,1,1,1,TSMC:90; Samsung Foundry:8; Intel Foundry:2,0,8168,90,4,US foreign direct product rule reaches any fab using US equipment,Company filings; TrendForce foundry revenue share Q1 2026,B
HBM stacked memory,hardware,1,1,1,SK hynix:58; Samsung:21; Micron:21,0,4246,58,4,HBM above bandwidth thresholds added to the US Commerce Control List in Dec 2024,"Counterpoint Research, HBM revenue share Q1 2026",A
Advanced packaging (CoWoS class),hardware,1,1,1,TSMC:70; Samsung:10,20,5000,70,3,"No direct control instrument, but capacity is contracted years ahead; queueing is the barrier",TSMC capacity disclosures; industry capacity estimates 2026,C
Merchant AI accelerators,hardware,1,1,1,NVIDIA:88; AMD:7,5,7793,88,5,ECCN 3A090/4A090 licence requirement; country-tier review policy; the single sharpest instrument,BIS rules of 13 Jan 2025 and 13 Jan 2026; vendor revenue disclosures,A
Commodity DRAM,hardware,1,1,1,Samsung:38; SK hynix:29; Micron:22,11,2769,38,2,Only the highest-bandwidth grades are controlled; the rest trades freely,"Counterpoint Research, DRAM revenue share Q1 2026",A
NAND and storage,hardware,1,1,1,Samsung:33; SK hynix:21,46,1530,33,1,Effectively uncontrolled,Industry revenue share estimates 2026,C
High-end networking fabric,hardware,1,1,0,NVIDIA (Mellanox):70; Broadcom:20,10,5300,70,3,Bundled into accelerator licences; switch silicon partly caught by advanced computing rules,Vendor disclosures; BIS advanced computing rules,C
Optical transceivers,hardware,1,1,1,Innolight:26; Eoptolink:19; Coherent:20,35,1437,26,1,"Uncontrolled; supply is China-heavy, which is a different kind of exposure",Industry revenue share estimates 2026,C
Power and cooling plant,hardware,1,1,1,Vertiv:25; Schneider Electric:20,55,1025,25,1,Uncontrolled. Liquid cooling skills are scarce but not restricted,Industry revenue share estimates 2026,C
Server assembly and ODM,hardware,1,1,1,Foxconn:30; Quanta:20; Wistron:12,38,1444,30,1,Uncontrolled as a category; the least concentrated hardware layer in the stack,Industry revenue share estimates 2026,C
EDA tool chains,software,1,0,0,Synopsys:32; Cadence:30; Siemens EDA:13,25,2093,32,5,"Named in successive BIS actions; cloud-delivered, licence-metered and revocable overnight",Company annual reports FY2025; BIS entity list actions,B
Accelerator programming stack,software,1,1,1,NVIDIA CUDA:90; AMD ROCm:6,4,8136,90,4,"Proprietary, licensed, revocable, and not forkable. Concentration plus control",Vendor licence terms; developer survey data 2026,B
Deep learning framework,software,1,1,1,PyTorch:63; JAX:12,25,4113,63,1,"Permissively licensed and forkable. High concentration, almost no control leverage",PyTorch Foundation; developer survey data 2026,B
Inference serving engines,software,0,0,1,vLLM:45; SGLang:20; TensorRT-LLM:15,20,2650,45,1,"Two of the top three are open source. A fork is a weekend, not a programme",Project telemetry and industry surveys 2026,C
Open model weights,software,0,1,1,Llama family:35; Qwen family:30,35,2125,35,2,"Licences are revocable going forward, but weights already downloaded cannot be recalled",Model licence terms; public download statistics 2026,C
Verifiable-reward environments,software,0,1,0,"Frontier labs, in house:80",20,6400,80,3,"Never exported, never published. The least visible chokepoint in the whole stack",Inferred from published post-training reports 2025-2026,D
